Dataset,subDominio,feature_a,feature_b,feature_c,feature_d,feature_e,feature_f,feature_g,feature_h,feature_i,feature_j
39,Logistic,37.5,41.67,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
40,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
41,Logistic,25.0,33.33,0.0,9.52,11.11,87.5,25.0,0.0,76.92,0.0
42,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
43,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
44,IndustrialProcesses,50.0,75.0,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
45,IndustrialProcesses,50.0,66.67,0.0,33.33,44.44,87.5,75.0,66.67,84.62,0.0
46,IndustrialProcesses,50.0,58.33,0.0,33.33,44.44,87.5,75.0,66.67,84.62,0.0
47,IndustrialProcesses,50.0,75.0,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
48,IndustrialProcesses,37.5,75.0,0.0,19.05,44.44,87.5,75.0,66.67,84.62,0.0
49,IndustrialProcesses,50.0,33.33,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
50,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
51,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
52,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
53,HealthCare,25.0,16.67,0.0,9.52,11.11,37.5,75.0,33.33,30.77,0.0
54,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
55,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,30.77,0.0
56,IndependentLiving,50.0,25.0,0.0,38.1,33.33,12.5,75.0,66.67,23.08,0.0
57,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
58,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
59,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
60,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
61,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
