Dataset,subDominio,feature_a,feature_b,feature_c,feature_d,feature_e,feature_f,feature_g,feature_h,feature_i,feature_j
24,SmartHome,SecurityPublic (50%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)","Logistic (37,5%)",HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
25,SmartCampus,"SecurityPublic (87,5%)",UrbanMobility (75%),"SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)",Logistic (50%),HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
26,SmartCampus,"SecurityPublic (87,5%)",UrbanMobility (75%),"SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (46,15%)",SmartCampus (0%)
27,SmartCampus,"SecurityPublic (87,5%)","UrbanMobility (41,67%)","SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)","Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
28,SmartCampus,"SecurityPublic (87,5%)","UrbanMobility (58,33%)","SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)",Logistic (50%),HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
29,SmartCampus,"SecurityPublic (87,5%)","UrbanMobility (58,33%)","SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)",Logistic (50%),HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
30,SmartCampus,"SecurityPublic (87,5%)",UrbanMobility (75%),"SmartGrid (85,71%)","SmartHome (71,43%)","Agriculture (55,56%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (46,15%)",SmartCampus (0%)
32,Agriculture,"SecurityPublic (37,5%)",UrbanMobility (0%),SmartGrid (0%),"SmartHome (23,81%)",Agriculture (100%),"Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
33,Agriculture,"SecurityPublic (37,5%)",UrbanMobility (0%),SmartGrid (0%),"SmartHome (23,81%)",Agriculture (100%),Logistic (0%),HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
34,Agriculture,SecurityPublic (25%),UrbanMobility (0%),SmartGrid (0%),"SmartHome (19,05%)",Agriculture (100%),"Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
35,Agriculture,SecurityPublic (25%),UrbanMobility (0%),SmartGrid (0%),"SmartHome (19,05%)",Agriculture (100%),"Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
36,Agriculture,"SecurityPublic (37,5%)",UrbanMobility (0%),SmartGrid (0%),"SmartHome (23,81%)",Agriculture (100%),"Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
37,Agriculture,"SecurityPublic (37,5%)",UrbanMobility (0%),SmartGrid (0%),"SmartHome (23,81%)",Agriculture (100%),"Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
38,Logistic,"SecurityPublic (37,5%)","UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (14,29%)","Agriculture (11,11%)","Logistic (87,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (76,92%)",SmartCampus (0%)
39,Logistic,"SecurityPublic (37,5%)","UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (14,29%)",Agriculture (0%),"Logistic (87,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (69,23%)",SmartCampus (0%)
40,Logistic,"SecurityPublic (37,5%)","UrbanMobility (33,33%)",SmartGrid (0%),"SmartHome (14,29%)",Agriculture (0%),"Logistic (87,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (69,23%)",SmartCampus (0%)
41,Logistic,SecurityPublic (25%),"UrbanMobility (33,33%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (11,11%)","Logistic (87,5%)",HealthCare (25%),IndependentLiving (0%),"IndustrialProcesses (76,92%)",SmartCampus (0%)
42,Logistic,"SecurityPublic (37,5%)","UrbanMobility (33,33%)",SmartGrid (0%),"SmartHome (14,29%)",Agriculture (0%),"Logistic (87,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (69,23%)",SmartCampus (0%)
43,Logistic,"SecurityPublic (37,5%)","UrbanMobility (33,33%)",SmartGrid (0%),"SmartHome (14,29%)",Agriculture (0%),"Logistic (87,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (69,23%)",SmartCampus (0%)
44,IndustrialProcesses,SecurityPublic (50%),UrbanMobility (75%),SmartGrid (0%),"SmartHome (38,1%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
45,IndustrialProcesses,SecurityPublic (50%),"UrbanMobility (66,67%)",SmartGrid (0%),"SmartHome (33,33%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
46,IndustrialProcesses,SecurityPublic (50%),"UrbanMobility (58,33%)",SmartGrid (0%),"SmartHome (33,33%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
47,IndustrialProcesses,SecurityPublic (50%),UrbanMobility (75%),SmartGrid (0%),"SmartHome (38,1%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
48,IndustrialProcesses,"SecurityPublic (37,5%)",UrbanMobility (75%),SmartGrid (0%),"SmartHome (19,05%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
49,IndustrialProcesses,SecurityPublic (50%),"UrbanMobility (33,33%)",SmartGrid (0%),"SmartHome (38,1%)","Agriculture (44,44%)","Logistic (87,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (84,62%)",SmartCampus (0%)
50,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (33,33%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (38,46%)",SmartCampus (0%)
51,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (33,33%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (38,46%)",SmartCampus (0%)
52,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (33,33%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (38,46%)",SmartCampus (0%)
53,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (11,11%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (33,33%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
54,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (33,33%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (38,46%)",SmartCampus (0%)
55,HealthCare,SecurityPublic (25%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (9,52%)","Agriculture (33,33%)","Logistic (37,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (30,77%)",SmartCampus (0%)
56,IndependentLiving,SecurityPublic (50%),UrbanMobility (25%),SmartGrid (0%),"SmartHome (38,1%)","Agriculture (33,33%)","Logistic (12,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
57,IndependentLiving,"SecurityPublic (37,5%)","UrbanMobility (8,33%)",SmartGrid (0%),"SmartHome (23,81%)","Agriculture (11,11%)",Logistic (0%),HealthCare (50%),"IndependentLiving (66,67%)",IndustrialProcesses (0%),SmartCampus (0%)
58,IndependentLiving,"SecurityPublic (37,5%)","UrbanMobility (8,33%)",SmartGrid (0%),"SmartHome (23,81%)","Agriculture (11,11%)",Logistic (0%),HealthCare (50%),"IndependentLiving (66,67%)",IndustrialProcesses (0%),SmartCampus (0%)
59,IndependentLiving,"SecurityPublic (37,5%)","UrbanMobility (8,33%)",SmartGrid (0%),"SmartHome (23,81%)","Agriculture (11,11%)",Logistic (0%),HealthCare (50%),"IndependentLiving (66,67%)",IndustrialProcesses (0%),SmartCampus (0%)
60,IndependentLiving,"SecurityPublic (37,5%)","UrbanMobility (8,33%)",SmartGrid (0%),"SmartHome (23,81%)","Agriculture (11,11%)",Logistic (0%),HealthCare (50%),"IndependentLiving (66,67%)",IndustrialProcesses (0%),SmartCampus (0%)
61,IndependentLiving,"SecurityPublic (37,5%)","UrbanMobility (8,33%)",SmartGrid (0%),"SmartHome (23,81%)","Agriculture (11,11%)",Logistic (0%),HealthCare (50%),"IndependentLiving (66,67%)",IndustrialProcesses (0%),SmartCampus (0%)
